Book-Title,Book-Author,Year-Of-Publication,num_ratings,avg_rating,Image-URL-M
The Pelican Brief,John Grisham,1993,581,2.6110154905335627,http://images.amazon.com/images/P/0440214041.01.MZZZZZZZ.jpg
Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback)),J. K. Rowling,1999,575,4.895652173913043,http://images.amazon.com/images/P/059035342X.01.MZZZZZZZ.jpg
Summer Sisters,Judy Blume,1998,573,3.3612565445026177,http://images.amazon.com/images/P/0385324057.01.MZZZZZZZ.jpg
The Girls' Guide to Hunting and Fishing,Melissa Bank,2000,573,3.1396160558464223,http://images.amazon.com/images/P/0140293248.01.MZZZZZZZ.jpg
The Firm,John Grisham,1991,569,3.0808435852372584,http://images.amazon.com/images/P/0385416342.01.MZZZZZZZ.jpg
The Pilot's Wife : A Novel,Anita Shreve,1999,568,3.5933098591549295,http://images.amazon.com/images/P/0316601950.01.MZZZZZZZ.jpg
The Brethren,JOHN GRISHAM,2000,556,2.8507194244604315,http://images.amazon.com/images/P/0385497466.01.MZZZZZZZ.jpg
Harry Potter and the Chamber of Secrets (Book 2),J. K. Rowling,2000,556,5.183453237410072,http://images.amazon.com/images/P/0439064872.01.MZZZZZZZ.jpg
The Joy Luck Club,Amy Tan,1994,555,3.0558558558558557,http://images.amazon.com/images/P/0804106304.01.MZZZZZZZ.jpg
Timeline,MICHAEL CRICHTON,2000,552,3.75,http://images.amazon.com/images/P/0345417623.01.MZZZZZZZ.jpg
A Time to Kill,JOHN GRISHAM,1992,549,3.122040072859745,http://images.amazon.com/images/P/0440211727.01.MZZZZZZZ.jpg
The Street Lawyer,JOHN GRISHAM,1999,545,2.851376146788991,http://images.amazon.com/images/P/0440225701.01.MZZZZZZZ.jpg
Girl with a Pearl Earring,Tracy Chevalier,2001,526,4.218631178707224,http://images.amazon.com/images/P/0452282152.01.MZZZZZZZ.jpg
The Runaway Jury,JOHN GRISHAM,1997,520,2.8807692307692307,http://images.amazon.com/images/P/0440221471.01.MZZZZZZZ.jpg
To Kill a Mockingbird,Harper Lee,1988,510,4.7,http://images.amazon.com/images/P/0446310786.01.MZZZZZZZ.jpg
1st to Die: A Novel,James Patterson,2002,509,3.5756385068762278,http://images.amazon.com/images/P/0446610038.01.MZZZZZZZ.jpg
The Chamber,John Grisham,1994,509,3.0157170923379173,http://images.amazon.com/images/P/0385424728.01.MZZZZZZZ.jpg
Interview with the Vampire,Anne Rice,1993,508,3.5511811023622046,http://images.amazon.com/images/P/0345337662.01.MZZZZZZZ.jpg
The Horse Whisperer,Nicholas Evans,1996,507,2.6863905325443787,http://images.amazon.com/images/P/0440222656.01.MZZZZZZZ.jpg
The Rainmaker,JOHN GRISHAM,1996,501,2.9221556886227544,http://images.amazon.com/images/P/044022165X.01.MZZZZZZZ.jpg
Message in a Bottle,Nicholas Sparks,1998,496,2.778225806451613,http://images.amazon.com/images/P/0446523569.01.MZZZZZZZ.jpg
The Poisonwood Bible: A Novel,Barbara Kingsolver,1999,494,3.6093117408906883,http://images.amazon.com/images/P/0060930535.01.MZZZZZZZ.jpg
"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",MITCH ALBOM,1997,493,4.354969574036511,http://images.amazon.com/images/P/0385484518.01.MZZZZZZZ.jpg
Good in Bed,Jennifer Weiner,2002,490,4.055102040816327,http://images.amazon.com/images/P/0743418174.01.MZZZZZZZ.jpg
Jurassic Park,Michael Crichton,1999,488,3.42827868852459,http://images.amazon.com/images/P/0345370775.01.MZZZZZZZ.jpg
The Client,John Grisham,1993,483,3.0848861283643894,http://images.amazon.com/images/P/038542471X.01.MZZZZZZZ.jpg
Dreamcatcher,Stephen King,2001,481,3.212058212058212,http://images.amazon.com/images/P/0743211383.01.MZZZZZZZ.jpg
The Partner,John Grisham,1997,478,3.290794979079498,http://images.amazon.com/images/P/0385472951.01.MZZZZZZZ.jpg
Hannibal,Thomas Harris,2000,468,2.7606837606837606,http://images.amazon.com/images/P/0440224675.01.MZZZZZZZ.jpg
She's Come Undone (Oprah's Book Club),Wally Lamb,1998,468,3.5705128205128207,http://images.amazon.com/images/P/0671021001.01.MZZZZZZZ.jpg
The Reader,Bernhard Schlink,1997,466,3.0128755364806867,http://images.amazon.com/images/P/0679442790.01.MZZZZZZZ.jpg
The King of Torts,John Grisham,2003,458,3.039301310043668,http://images.amazon.com/images/P/0385508042.01.MZZZZZZZ.jpg
Suzanne's Diary for Nicholas,James Patterson,2001,457,3.8205689277899344,http://images.amazon.com/images/P/0316969443.01.MZZZZZZZ.jpg
Me Talk Pretty One Day,David Sedaris,2001,457,3.7527352297593,http://images.amazon.com/images/P/0316776963.01.MZZZZZZZ.jpg
The Catcher in the Rye,J.D. Salinger,1991,449,4.5456570155902005,http://images.amazon.com/images/P/0316769487.01.MZZZZZZZ.jpg
She's Come Undone (Oprah's Book Club (Paperback)),Wally Lamb,1996,446,3.495515695067265,http://images.amazon.com/images/P/0671003755.01.MZZZZZZZ.jpg
The Bridges of Madison County,Robert James Waller,1992,443,3.0880361173814896,http://images.amazon.com/images/P/044651652X.01.MZZZZZZZ.jpg
The Beach House,James Patterson,2003,435,3.3471264367816094,http://images.amazon.com/images/P/0446612545.01.MZZZZZZZ.jpg
Little Altars Everywhere: A Novel,Rebecca Wells,1996,434,3.2557603686635943,http://images.amazon.com/images/P/0060976845.01.MZZZZZZZ.jpg
While I Was Gone,Sue Miller,1999,431,2.5800464037122968,http://images.amazon.com/images/P/0345443284.01.MZZZZZZZ.jpg
The No. 1 Ladies' Detective Agency (Today Show Book Club #8),Alexander McCall Smith,2003,431,3.417633410672854,http://images.amazon.com/images/P/1400034779.01.MZZZZZZZ.jpg
The Five People You Meet in Heaven,Mitch Albom,2003,430,4.551162790697674,http://images.amazon.com/images/P/0786868716.01.MZZZZZZZ.jpg
Harry Potter and the Prisoner of Azkaban (Book 3),J. K. Rowling,1999,428,5.852803738317757,http://images.amazon.com/images/P/0439136350.01.MZZZZZZZ.jpg
A Prayer for Owen Meany,John Irving,1990,413,3.7966101694915255,http://images.amazon.com/images/P/0345361792.01.MZZZZZZZ.jpg
Fahrenheit 451,Ray Bradbury,1994,409,4.264058679706602,http://images.amazon.com/images/P/3257208626.01.MZZZZZZZ.jpg
The Perfect Storm : A True Story of Men Against the Sea,Sebastian Junger,1999,404,2.5396039603960396,http://images.amazon.com/images/P/0060977477.01.MZZZZZZZ.jpg
Red Dragon,Thomas Harris,2000,402,3.6069651741293534,http://images.amazon.com/images/P/0440206154.01.MZZZZZZZ.jpg
When the Wind Blows,James Patterson,1998,396,2.7222222222222223,http://images.amazon.com/images/P/0316693324.01.MZZZZZZZ.jpg
The Cider House Rules,John Irving,1986,393,2.969465648854962,http://images.amazon.com/images/P/0553258001.01.MZZZZZZZ.jpg
Empire Falls,Richard Russo,2002,392,3.6301020408163267,http://images.amazon.com/images/P/0375726403.01.MZZZZZZZ.jpg
The Bean Trees,Barbara Kingsolver,1989,389,4.087403598971722,http://images.amazon.com/images/P/0060915544.01.MZZZZZZZ.jpg
White Oleander : A Novel,Janet Fitch,2001,387,3.5064599483204133,http://images.amazon.com/images/P/0316182540.01.MZZZZZZZ.jpg
Harry Potter and the Goblet of Fire (Book 4),J. K. Rowling,2000,387,5.8242894056847545,http://images.amazon.com/images/P/0439139597.01.MZZZZZZZ.jpg
The Bonesetter's Daughter,Amy Tan,2001,384,3.390625,http://images.amazon.com/images/P/0399146431.01.MZZZZZZZ.jpg
SHIPPING NEWS,Annie Proulx,1994,382,3.2539267015706805,http://images.amazon.com/images/P/0671510053.01.MZZZZZZZ.jpg
Midwives: A Novel,Chris Bohjalian,1998,380,3.113157894736842,http://images.amazon.com/images/P/0375706771.01.MZZZZZZZ.jpg
Violets Are Blue,James Patterson,2002,379,2.955145118733509,http://images.amazon.com/images/P/0446611212.01.MZZZZZZZ.jpg
A Walk to Remember,Nicholas Sparks,2000,378,3.3994708994708995,http://images.amazon.com/images/P/0446608955.01.MZZZZZZZ.jpg
The Divine Secrets of the Ya-Ya Sisterhood: A Novel,Rebecca Wells,2002,376,3.4308510638297873,http://images.amazon.com/images/P/0060502258.01.MZZZZZZZ.jpg
Sphere,MICHAEL CRICHTON,1988,374,2.7433155080213902,http://images.amazon.com/images/P/0345353145.01.MZZZZZZZ.jpg
Into Thin Air : A Personal Account of the Mt. Everest Disaster,JON KRAKAUER,1999,372,3.303763440860215,http://images.amazon.com/images/P/0385494785.01.MZZZZZZZ.jpg
"The Fellowship of the Ring (The Lord of the Rings, Part 1)",J.R.R. TOLKIEN,1986,368,4.948369565217392,http://images.amazon.com/images/P/0345339703.01.MZZZZZZZ.jpg
STONES FROM THE RIVER,Ursula Hegi,1997,364,3.0027472527472527,http://images.amazon.com/images/P/0684844729.01.MZZZZZZZ.jpg
Mystic River,Dennis Lehane,2002,362,2.911602209944751,http://images.amazon.com/images/P/0380731851.01.MZZZZZZZ.jpg
Black Notice,Patricia Daniels Cornwell,1999,360,2.783333333333333,http://images.amazon.com/images/P/0399145087.01.MZZZZZZZ.jpg
2nd Chance,James Patterson,2002,356,3.269662921348315,http://images.amazon.com/images/P/0316693200.01.MZZZZZZZ.jpg
White Oleander : A Novel (Oprah's Book Club),Janet Fitch,2000,356,3.7724719101123596,http://images.amazon.com/images/P/0316284955.01.MZZZZZZZ.jpg
The Alienist,Caleb Carr,1995,350,2.9657142857142857,http://images.amazon.com/images/P/0553572997.01.MZZZZZZZ.jpg
Bel Canto: A Novel,Ann Patchett,2002,350,3.702857142857143,http://images.amazon.com/images/P/0060934417.01.MZZZZZZZ.jpg
Confessions of a Shopaholic (Summer Display Opportunity),SOPHIE KINSELLA,2001,350,3.6342857142857143,http://images.amazon.com/images/P/0385335482.01.MZZZZZZZ.jpg
Harry Potter and the Order of the Phoenix (Book 5),J. K. Rowling,2003,347,5.501440922190202,http://images.amazon.com/images/P/043935806X.01.MZZZZZZZ.jpg
A Bend in the Road,Nicholas Sparks,2001,346,3.3641618497109826,http://images.amazon.com/images/P/0446527785.01.MZZZZZZZ.jpg
Chocolat,Joanne Harris,2000,344,3.4127906976744184,http://images.amazon.com/images/P/0552998486.01.MZZZZZZZ.jpg
We Were the Mulvaneys,Joyce Carol Oates,1996,342,2.8684210526315788,http://images.amazon.com/images/P/0452282829.01.MZZZZZZZ.jpg
The Last Precinct,Patricia Cornwell,2001,337,2.8753709198813056,http://images.amazon.com/images/P/0425180638.01.MZZZZZZZ.jpg
The Hundred Secret Senses,Amy Tan,1995,336,2.830357142857143,http://images.amazon.com/images/P/0399141146.01.MZZZZZZZ.jpg
"The Golden Compass (His Dark Materials, Book 1)",PHILIP PULLMAN,2002,336,4.0,http://images.amazon.com/images/P/037582345X.01.MZZZZZZZ.jpg
Nickel and Dimed: On (Not) Getting By in America,Barbara Ehrenreich,2002,335,4.28955223880597,http://images.amazon.com/images/P/0805063897.01.MZZZZZZZ.jpg
Airframe,Michael Crichton,1997,332,2.9006024096385543,http://images.amazon.com/images/P/0345402871.01.MZZZZZZZ.jpg
A Map of the World,Jane Hamilton,1999,327,2.492354740061162,http://images.amazon.com/images/P/0385500769.01.MZZZZZZZ.jpg
Wicked: The Life and Times of the Wicked Witch of the West,Gregory Maguire,1996,326,3.766871165644172,http://images.amazon.com/images/P/0060987103.01.MZZZZZZZ.jpg
Angela's Ashes (MMP) : A Memoir,Frank McCourt,1999,326,3.3374233128834354,http://images.amazon.com/images/P/0684872153.01.MZZZZZZZ.jpg
Skipping Christmas,JOHN GRISHAM,2001,322,4.0062111801242235,http://images.amazon.com/images/P/0385505833.01.MZZZZZZZ.jpg
